mulpl	no	omp	tbb	up_no	up_omp	up_tbb
1	34	20	11	34	10	10
2	68	19	18	68	19	19
3	103	25	24	103	24	25
4	137	35	34	137	60	35
5	172	43	42	171	43	42
6	205	48	48	204	48	48
7	241	57	57	241	58	62
8	276	66	63	275	62	63
9	308	72	72	308	75	76
10	345	83	89	344	119	81
11	381	97	88	379	89	95
12	413	101	103	414	103	101
13	450	107	105	450	143	105
14	482	115	113	485	165	111
15	516	132	120	517	127	122
16	551	130	125	550	185	126
17	585	140	134	584	145	146
18	629	147	143	624	147	144
19	650	154	153	653	162	151
20	695	160	159	688	192	167
21	726	177	167	722	179	168
22	761	184	195	773	202	182
23	803	193	186	799	189	182
24	831	200	191	834	193	192
25	868	202	198	872	210	201
26	902	232	207	905	235	207
27	936	231	218	936	234	215
28	974	249	227	983	237	241
29	1025	266	236	1022	316	250
30	1054	363	249	1060	254	253
